household_ID,district,subvillage,village,ward,Intervention,campaign_type,dog_total,cp_travel_time_there,cp_duration
HS0503,0,0,0,0,0,pulse,2,10,10
HS0504,0,0,0,0,0,pulse,5,15,1
HS0505,0,0,0,0,0,pulse,1,5,5
HS0506,0,0,0,0,0,pulse,2,7,10
HS0508,0,0,0,0,0,pulse,1,10,5
HS0509,0,0,0,0,0,pulse,1,20,5
HS0510,0,0,0,0,0,pulse,1,10,30
HS0513,0,3,0,0,0,pulse,3,5,10
HS0514,0,3,0,0,0,pulse,2,10,2
HS0516,0,3,0,0,0,pulse,1,20,10
HS0519,0,3,0,0,0,pulse,3,30,1
HS0520,0,3,0,0,0,pulse,1,30,5
HS0521,0,4,0,0,0,pulse,1,30,30
HS0522,0,4,0,0,0,pulse,2,20,10
HS0525,0,4,0,0,0,pulse,3,20,2
HS0529,0,4,0,0,0,pulse,3,10,15
HS0530,0,4,0,0,0,pulse,1,30,7
HS0539,0,8,3,0,0,pulse,1,1,7
HS0544,0,8,3,0,0,pulse,2,30,10
HS0546,0,8,3,0,0,pulse,2,1,10
HS0547,0,8,3,0,0,pulse,2,1,5
HS0549,0,10,3,0,0,pulse,1,30,7
HS0550,0,10,3,0,0,pulse,1,30,10
HS0552,0,8,3,0,0,pulse,1,60,8
HS0558,1,12,6,3,0,pulse,6,30,10
HS0559,0,10,3,0,0,pulse,3,30,10
HS0560,0,10,3,0,0,pulse,1,30,10
HS0562,0,10,3,0,0,pulse,1,30,10
HS0573,1,77,26,3,0,pulse,1,30,180
HS0574,1,77,26,3,0,pulse,3,30,240
HS0575,1,77,26,3,0,pulse,1,30,60
HS0580,1,74,26,3,0,pulse,1,30,60
HS0582,1,74,26,3,0,pulse,2,30,240
HS0586,1,74,26,3,0,pulse,3,15,60
HS0588,1,74,26,3,0,pulse,2,15,5
HS0589,1,74,26,3,0,pulse,3,20,5
HS0591,1,74,26,3,0,pulse,1,15,30
HS0592,1,74,26,3,0,pulse,7,15,10
HS0593,1,74,26,3,0,pulse,4,10,60
HS0594,1,74,26,3,0,pulse,1,10,30
HS0596,1,74,26,3,0,pulse,3,5,30
HS0597,1,72,24,3,0,pulse,1,10,240
HS0598,1,72,24,3,0,pulse,1,10,45
HS0600,1,72,24,3,0,pulse,2,15,20
HS0607,1,70,24,3,0,pulse,2,15,5
HS0608,1,70,24,3,0,pulse,2,15,240
HS0609,1,70,24,3,0,pulse,1,15,240
HS0613,1,70,24,3,0,pulse,2,20,240
HS0614,1,70,24,3,0,pulse,1,15,120
HS0617,1,70,24,3,0,pulse,1,30,60
HS0619,1,69,24,3,0,pulse,2,20,20
HS0621,1,69,24,3,0,pulse,1,20,240
HS0628,1,32,6,3,0,pulse,1,15,120
HS0631,1,32,6,3,0,pulse,1,20,30
HS0633,1,56,19,3,0,pulse,2,60,15
HS0639,1,56,19,3,0,pulse,1,10,15
HS0640,1,56,19,3,0,pulse,2,5,3
HS0641,1,56,19,3,0,pulse,1,5,15
HS0643,1,54,19,3,0,pulse,1,60,5
HS0648,1,54,19,3,0,pulse,1,15,5
HS0649,1,54,19,3,0,pulse,1,15,5
HS0651,1,54,19,3,0,pulse,1,15,5
HS0652,1,54,19,3,0,pulse,1,20,10
HS0662,1,32,6,3,0,pulse,4,2,60
HS0663,1,32,6,3,0,pulse,1,5,30
HS0664,1,32,6,3,0,pulse,1,15,30
HS0665,1,32,6,3,0,pulse,2,20,60
HS0668,1,12,6,3,0,pulse,2,10,60
HS0669,1,12,6,3,0,pulse,1,10,250
HS0670,1,12,6,3,0,pulse,1,15,240
HS0671,1,12,6,3,0,pulse,1,60,100
HS0672,1,12,6,3,0,pulse,1,45,100
HS0673,1,12,6,3,0,pulse,2,30,120
HS0675,1,12,6,3,0,pulse,1,30,120
HS0676,1,12,6,3,0,pulse,2,30,100
HS0677,1,12,6,3,0,pulse,3,30,60
HS0678,1,30,6,3,0,pulse,4,60,90
HS0681,1,30,6,3,0,pulse,2,120,120
HS0688,1,66,22,4,1,continuous,1,45,60
HS0689,1,66,22,4,1,continuous,1,45,60
HS0694,1,66,22,4,1,continuous,1,60,80
HS0695,1,66,22,4,1,continuous,1,30,15
HS0697,1,66,22,4,1,continuous,2,60,30
HS0700,1,64,22,4,1,continuous,3,60,60
HS0701,1,64,22,4,1,continuous,3,45,60
HS0702,1,64,22,4,1,continuous,2,45,60
HS0704,1,64,22,4,1,continuous,2,15,30
HS0707,1,64,22,4,1,continuous,4,10,30
HS0709,1,63,22,4,1,continuous,2,60,240
HS0715,1,63,22,4,1,continuous,2,35,60
HS0716,1,63,22,4,1,continuous,2,60,120
HS0718,1,63,22,4,1,continuous,2,60,75
HS0719,1,59,20,4,1,continuous,1,1,2
HS0720,1,59,20,4,1,continuous,1,5,10
HS0721,1,59,20,4,1,continuous,1,10,15
HS0722,1,59,20,4,1,continuous,1,15,10
HS0723,1,59,20,4,1,continuous,3,30,45
HS0724,1,59,20,4,1,continuous,1,12,15
HS0725,1,59,20,4,1,continuous,1,15,60
HS0727,1,59,20,4,1,continuous,2,15,40
HS0731,1,57,20,4,1,continuous,2,10,120
HS0733,1,57,20,4,1,continuous,2,10,120
HS0739,1,58,20,4,1,continuous,2,10,60
HS0740,1,58,20,4,1,continuous,2,12,75
HS0741,1,58,20,4,1,continuous,2,10,60
HS0742,1,58,20,4,1,continuous,1,10,20
HS0745,1,58,20,4,1,continuous,2,15,10
HS0747,1,58,20,4,1,continuous,2,20,60
HS0750,1,51,17,4,1,continuous,2,60,120
HS0752,1,51,17,4,1,continuous,2,30,240
HS0754,1,51,17,4,1,continuous,1,30,300
HS0756,1,51,17,4,1,continuous,3,40,60
HS0757,1,51,17,4,1,continuous,1,45,45
HS0760,1,43,17,4,1,continuous,1,10,10
HS0761,1,43,17,4,1,continuous,2,15,90
HS0763,1,43,17,4,1,continuous,1,30,40
HS0766,1,43,17,4,1,continuous,4,5,15
HS0767,1,43,17,4,1,continuous,2,15,60
HS0769,1,49,17,4,1,continuous,1,45,60
HS0770,1,49,17,4,1,continuous,3,30,60
HS0771,1,49,17,4,1,continuous,1,45,60
HS0772,1,49,17,4,1,continuous,1,47,65
HS0773,1,49,17,4,1,continuous,4,50,42
HS0774,1,49,17,4,1,continuous,4,60,55
HS0775,1,49,17,4,1,continuous,1,65,50
HS0776,1,49,17,4,1,continuous,1,70,48
HS0777,1,49,17,4,1,continuous,1,55,45
HS0778,1,49,17,4,1,continuous,2,50,60
HS0779,1,46,7,4,1,continuous,3,15,30
HS0780,1,46,7,4,1,continuous,2,30,30
HS0781,1,46,7,4,1,continuous,3,30,180
HS0782,1,46,7,4,1,continuous,2,30,30
HS0783,1,46,7,4,1,continuous,1,45,30
HS0784,1,46,7,4,1,continuous,2,50,60
HS0785,1,46,7,4,1,continuous,1,50,120
HS0786,1,46,7,4,1,continuous,1,45,60
HS0787,1,46,7,4,1,continuous,2,50,60
HS0789,1,43,7,4,1,continuous,3,30,20
HS0790,1,43,7,4,1,continuous,2,90,120
HS0791,1,43,7,4,1,continuous,3,60,120
HS0792,1,43,7,4,1,continuous,1,30,15
HS0799,1,18,7,4,1,continuous,3,10,15
HS0800,1,18,7,4,1,continuous,3,5,30
HS0801,1,18,7,4,1,continuous,1,45,60
HS0802,1,18,7,4,1,continuous,1,45,60
HS0803,1,18,7,4,1,continuous,1,2,5
HS0804,1,18,7,4,1,continuous,1,2,60
HS0805,1,18,7,4,1,continuous,1,45,110
HS0806,1,18,7,4,1,continuous,2,20,60
HS0807,1,18,7,4,1,continuous,1,30,30
HS0808,1,18,7,4,1,continuous,3,10,15
HS0809,0,19,8,0,0,pulse,1,30,3
HS0820,0,13,8,0,0,pulse,1,2,3
HS0821,0,13,8,0,0,pulse,2,3,5
HS0822,0,13,8,0,0,pulse,1,5,3
HS0823,0,13,8,0,0,pulse,2,10,20
HS0825,0,13,8,0,0,pulse,1,10,5
HS0826,0,13,8,0,0,pulse,3,5,5
HS0827,0,13,8,0,0,pulse,1,5,5
HS0828,0,13,8,0,0,pulse,2,7,10
HS0830,0,21,8,0,0,pulse,2,30,15
HS0836,0,21,8,0,0,pulse,1,10,30
HS0838,0,21,8,0,0,pulse,2,15,5
HS0839,0,31,11,0,0,pulse,1,5,1
HS0848,0,31,11,0,0,pulse,2,5,60
HS0864,0,67,11,0,0,pulse,1,10,30
HS0867,0,67,11,0,0,pulse,1,30,5
HS0879,0,71,23,0,0,pulse,1,20,120
HS0906,1,73,25,1,2,continuous,2,5,10
HS0909,1,75,25,1,2,continuous,1,2,5
HS0911,1,75,25,1,2,continuous,2,3,2
HS0912,1,75,25,1,2,continuous,2,1,4
HS0913,1,75,25,1,2,continuous,1,5,30
HS0914,1,75,25,1,2,continuous,1,30,60
HS0915,1,75,25,1,2,continuous,3,6,3
HS0916,1,75,25,1,2,continuous,1,6,3
HS0917,1,75,25,1,2,continuous,2,8,3
HS0919,1,76,25,1,2,continuous,1,15,15
HS0930,1,78,27,1,2,continuous,2,5,10
HS0932,1,78,27,1,2,continuous,1,3,5
HS0935,1,78,27,1,2,continuous,1,1,5
HS0937,1,78,27,1,2,continuous,3,8,30
HS0938,1,78,27,1,2,continuous,12,3,10
HS0939,1,80,27,1,2,continuous,2,1,30
HS0940,1,80,27,1,2,continuous,3,2,2
HS0941,1,80,27,1,2,continuous,1,5,2
HS0942,1,80,27,1,2,continuous,1,2,5
HS0945,1,80,27,1,2,continuous,13,15,5
HS0949,1,81,27,1,2,continuous,2,5,30
HS0951,1,81,27,1,2,continuous,2,15,30
HS0952,1,81,27,1,2,continuous,1,5,15
HS0953,1,81,27,1,2,continuous,3,5,30
HS0962,1,1,1,1,2,continuous,8,30,5
HS0966,1,1,1,1,2,continuous,8,2,30
HS0971,1,84,1,1,2,continuous,1,5,30
HS0972,1,84,1,1,2,continuous,2,20,30
HS0975,1,84,1,1,2,continuous,1,40,5
HS0977,1,84,1,1,2,continuous,3,20,10
HS0985,1,87,1,1,2,continuous,7,10,60
HS0987,1,87,1,1,2,continuous,3,20,30
HS0989,1,79,29,1,2,continuous,3,5,15
HS0990,1,79,29,1,2,continuous,2,5,20
HS0991,1,79,29,1,2,continuous,1,30,15
HS0992,1,79,29,1,2,continuous,1,30,30
HS0994,1,79,29,1,2,continuous,1,15,30
HS0997,1,79,29,1,2,continuous,1,7,10
HS104,1,95,31,1,2,continuous,4,30,25
HS1040,0,24,9,5,2,continuous,3,15,15
HS1041,1,95,31,1,2,continuous,1,10,10
HS1042,1,95,31,1,2,continuous,2,20,5
HS1045,1,95,31,1,2,continuous,3,15,15
HS1561,2,132,45,8,2,continuous,8,30,60
HS1568,2,132,45,8,2,continuous,6,15,60
HS1573,2,133,45,8,2,continuous,2,15,60
HS1578,2,133,45,8,2,continuous,2,10,30
HS1580,2,133,45,8,2,continuous,2,15,20
HS1585,2,134,45,8,2,continuous,2,10,10
HS1589,2,134,45,8,2,continuous,3,10,30
HS1590,2,134,45,8,2,continuous,6,10,5
HS1594,2,129,44,8,2,continuous,6,20,40
HS1597,2,129,44,8,2,continuous,3,15,60
HS1599,2,129,44,8,2,continuous,2,20,30
HS1603,2,130,44,8,2,continuous,2,20,30
HS1605,2,130,44,8,2,continuous,2,5,30
HS1606,2,130,44,8,2,continuous,5,15,30
HS1608,2,130,44,8,2,continuous,2,30,120
HS1611,2,131,44,8,2,continuous,2,20,60
HS1612,2,131,44,8,2,continuous,2,10,30
HS1615,2,131,44,8,2,continuous,7,10,20
HS1616,2,131,44,8,2,continuous,1,10,30
HS1617,2,131,44,8,2,continuous,2,15,30
HS1618,2,131,44,8,2,continuous,2,15,15
HS1620,2,131,44,8,2,continuous,2,15,120
HS1622,2,83,43,11,1,continuous,2,15,120
HS1629,2,83,43,11,1,continuous,5,20,30
HS1630,2,83,43,11,1,continuous,3,15,120
HS1631,2,128,43,11,1,continuous,5,15,60
HS1632,2,128,43,11,1,continuous,3,15,30
HS1636,2,128,43,11,1,continuous,1,60,180
HS1642,2,127,43,11,1,continuous,1,15,45
HS1644,2,127,43,11,1,continuous,11,15,60
HS1647,2,127,43,11,1,continuous,2,15,120
HS1657,2,124,42,11,1,continuous,2,30,60
HS1660,2,124,42,11,1,continuous,2,30,30
HS1662,2,125,42,11,1,continuous,2,20,60
HS1664,2,125,42,11,1,continuous,4,20,120
HS1666,2,125,42,11,1,continuous,3,20,45
HS1669,2,125,42,11,1,continuous,2,30,120
HS1674,2,126,42,11,1,continuous,2,20,30
HS1676,2,126,42,11,1,continuous,8,30,120
HS1681,2,122,40,11,1,continuous,3,10,60
HS1685,2,122,40,11,1,continuous,5,15,60
HS1690,2,122,40,11,1,continuous,3,10,60
HS1691,2,33,40,11,1,continuous,2,10,10
HS1692,2,33,40,11,1,continuous,2,10,60
HS1693,2,33,40,11,1,continuous,3,10,60
HS1700,2,33,40,11,1,continuous,6,15,45
HS1707,2,119,40,11,1,continuous,4,30,60
HS1716,2,114,38,11,1,continuous,2,20,60
HS1721,2,116,38,11,1,continuous,2,10,45
HS1722,2,116,38,11,1,continuous,1,10,20
HS1724,2,116,38,11,1,continuous,2,15,25
HS1725,2,116,38,11,1,continuous,1,15,20
HS1729,2,116,38,11,1,continuous,2,10,60
HS1732,2,117,38,11,1,continuous,2,60,180
HS1733,2,117,38,11,1,continuous,4,30,120
HS1739,2,117,38,11,1,continuous,2,20,120
HS1750,2,112,36,10,0,pulse,4,15,30
HS1754,1,96,32,9,3,continuous,2,5,5
HS1756,1,96,32,9,3,continuous,4,10,30
HS1761,1,97,32,9,3,continuous,3,10,20
HS1762,1,97,32,9,3,continuous,4,2,15
HS1763,1,97,32,9,3,continuous,1,3,120
HS1765,1,97,32,9,3,continuous,2,20,30
HS1766,1,97,32,9,3,continuous,1,20,10
HS1771,1,98,32,9,3,continuous,2,20,60
HS1776,1,98,32,9,3,continuous,1,7,30
HS1782,1,102,34,9,3,continuous,9,10,5
HS1786,1,102,34,9,3,continuous,1,10,30
HS1787,1,102,34,9,3,continuous,1,20,10
HS1792,1,107,34,9,3,continuous,3,5,4
HS1793,1,107,34,9,3,continuous,1,10,4
HS1794,1,107,34,9,3,continuous,2,20,2
HS1800,1,105,34,9,3,continuous,1,5,4
HS1801,1,105,34,9,3,continuous,1,30,30
HS1803,1,105,34,9,3,continuous,1,15,4
HS1804,1,105,34,9,3,continuous,1,10,10
HS1805,1,105,34,9,3,continuous,2,10,8
HS1808,1,105,34,9,3,continuous,1,15,4
HS1815,1,109,37,9,3,continuous,2,6,10
HS1819,1,109,37,9,3,continuous,1,5,8
HS1822,1,111,37,9,3,continuous,1,30,2
HS1826,1,111,37,9,3,continuous,3,60,10
HS1832,1,115,39,9,3,continuous,1,30,20
HS1839,1,113,37,9,3,continuous,1,1,2
HS1841,1,113,37,9,3,continuous,1,2,2
HS1842,1,113,37,9,3,continuous,2,25,15
HS1844,1,113,37,9,3,continuous,1,4,3
HS1845,1,113,37,9,3,continuous,1,30,20
HS1847,1,120,41,9,3,continuous,1,5,5
HS1850,1,115,39,9,3,continuous,2,20,30
HS1853,1,115,39,9,3,continuous,1,7,3
HS1855,1,15,39,9,3,continuous,5,10,10
HS1856,1,15,39,9,3,continuous,2,5,30
HS1858,1,15,39,9,3,continuous,2,4,20
HS1868,1,118,39,9,3,continuous,2,30,5
HS1871,1,118,39,9,3,continuous,3,30,20
HS1884,1,123,41,9,3,continuous,2,3,20
HS1886,1,121,41,9,3,continuous,1,30,5
HS1898,1,120,41,9,3,continuous,1,8,2
HS1899,1,120,41,9,3,continuous,1,3,5
HS1900,1,120,41,9,3,continuous,4,1,3
HS1901,1,120,41,9,3,continuous,2,5,2
SH0871,0,68,23,0,0,pulse,2,30,180
SH1001,1,89,29,1,2,continuous,2,15,20
SH1002,1,89,29,1,2,continuous,1,60,120
SH1004,1,89,29,1,2,continuous,1,10,5
SH1005,1,89,29,1,2,continuous,2,2,30
SH1006,1,89,29,1,2,continuous,1,20,30
SH1007,1,89,29,1,2,continuous,3,2,10
SH1012,1,92,29,1,2,continuous,1,40,2
SH1020,1,93,31,1,2,continuous,2,15,5
SH1021,1,93,31,1,2,continuous,1,10,5
SH1022,1,93,31,1,2,continuous,3,5,30
SH1023,1,93,31,1,2,continuous,1,5,5
SH1028,1,93,31,1,2,continuous,1,2,15
SH1030,1,94,31,1,2,continuous,2,20,30
SH1031,1,94,31,1,2,continuous,1,10,5
SH1033,1,94,31,1,2,continuous,1,10,60
SH1035,1,94,31,1,2,continuous,2,5,30
SH1039,1,95,31,1,2,continuous,3,10,180