Strategy,cp_duration,cp_travel
0,1,1
0,1,1
0,1,1
0,2,2
0,2,2
0,3,3
0,3,5
0,3,5
0,3,5
0,5,5
0,5,5
0,5,5
0,5,5
0,5,5
0,5,5
0,5,5
0,5,5
0,5,5
0,5,7
0,5,7
0,5,10
0,5,10
0,5,10
0,5,10
0,5,10
0,5,10
0,5,10
0,7,10
0,7,10
0,7,10
0,8,10
0,10,10
0,10,10
0,10,10
0,10,10
0,10,10
0,10,10
0,10,10
0,10,10
0,10,10
0,10,15
0,10,15
0,10,15
0,10,15
0,10,15
0,10,15
0,15,15
0,15,15
0,15,15
0,15,15
0,15,15
0,20,15
0,20,15
0,20,15
0,20,15
0,30,15
0,30,15
0,30,15
0,30,15
0,30,15
0,30,15
0,30,15
0,30,15
0,30,20
0,30,20
0,30,20
0,30,20
0,30,20
0,30,20
0,40,20
0,45,20
0,60,20
0,60,20
0,60,20
0,60,20
0,60,20
0,60,20
0,60,20
0,60,20
0,60,30
0,60,30
0,60,30
0,60,30
0,60,30
0,60,30
0,60,30
0,90,30
0,90,30
0,90,30
0,100,30
0,100,30
0,100,30
0,120,30
0,120,30
0,120,30
0,120,30
0,120,30
0,120,30
0,120,30
0,120,30
0,120,30
0,120,30
0,180,30
0,180,30
0,180,30
0,180,30
0,180,45
0,240,60
0,240,60
0,240,60
0,240,60
0,240,60
0,240,60
0,240,60
0,240,60
0,250,120
1,2,1
1,5,2
1,10,2
1,10,2
1,10,5
1,10,5
1,10,5
1,10,5
1,10,5
1,10,5
1,10,5
1,10,5
1,10,5
1,10,5
1,10,5
1,15,5
1,15,10
1,15,10
1,15,10
1,15,10
1,15,10
1,15,10
1,15,10
1,15,10
1,15,10
1,15,10
1,15,10
1,15,10
1,15,10
1,15,10
1,15,10
1,15,10
1,20,10
1,20,10
1,20,10
1,20,10
1,20,10
1,20,10
1,20,10
1,20,10
1,20,10
1,20,10
1,20,10
1,20,10
1,25,10
1,25,10
1,30,10
1,30,10
1,30,10
1,30,10
1,30,10
1,30,10
1,30,10
1,30,12
1,30,12
1,30,15
1,30,15
1,30,15
1,30,15
1,30,15
1,30,15
1,30,15
1,30,15
1,30,15
1,30,15
1,30,15
1,30,15
1,30,15
1,30,15
1,30,15
1,30,15
1,30,15
1,30,15
1,30,15
1,30,15
1,30,15
1,30,15
1,30,15
1,30,15
1,30,15
1,30,15
1,30,15
1,30,15
1,30,15
1,30,15
1,30,15
1,30,20
1,30,20
1,30,20
1,30,20
1,30,20
1,40,20
1,40,20
1,40,20
1,40,20
1,40,20
1,40,20
1,42,20
1,45,20
1,45,20
1,45,20
1,45,20
1,45,20
1,45,20
1,45,20
1,45,20
1,45,20
1,45,20
1,45,20
1,45,20
1,45,20
1,45,20
1,45,20
1,45,20
1,48,20
1,50,20
1,55,20
1,60,20
1,60,20
1,60,20
1,60,20
1,60,20
1,60,20
1,60,25
1,60,30
1,60,30
1,60,30
1,60,30
1,60,30
1,60,30
1,60,30
1,60,30
1,60,30
1,60,30
1,60,30
1,60,30
1,60,30
1,60,30
1,60,30
1,60,30
1,60,30
1,60,30
1,60,30
1,60,30
1,60,30
1,60,30
1,60,30
1,60,30
1,60,30
1,60,30
1,60,30
1,60,30
1,60,30
1,60,30
1,60,30
1,60,30
1,60,30
1,60,30
1,60,30
1,60,30
1,60,30
1,60,30
1,60,30
1,60,30
1,60,30
1,60,30
1,60,35
1,60,40
1,60,40
1,60,40
1,60,45
1,60,45
1,60,45
1,60,45
1,60,45
1,60,45
1,60,45
1,65,45
1,75,45
1,75,45
1,80,45
1,90,45
1,110,45
1,120,45
1,120,45
1,120,47
1,120,50
1,120,50
1,120,50
1,120,50
1,120,50
1,120,55
1,120,60
1,120,60
1,120,60
1,120,60
1,120,60
1,120,60
1,120,60
1,120,60
1,120,60
1,120,60
1,120,60
1,180,60
1,180,60
1,180,65
1,240,65
1,240,70
1,300,90
2,2,1
2,2,1
2,2,1
2,2,1
2,3,1
2,3,2
2,3,2
2,4,2
2,5,2
2,5,2
2,5,2
2,5,2
2,5,2
2,5,3
2,5,3
2,5,3
2,5,5
2,5,5
2,5,5
2,5,5
2,5,5
2,5,5
2,5,5
2,5,5
2,5,5
2,5,5
2,5,5
2,5,5
2,5,5
2,5,5
2,10,5
2,10,5
2,10,5
2,10,5
2,10,5
2,10,5
2,10,5
2,10,5
2,10,5
2,10,5
2,10,5
2,10,5
2,10,6
2,10,6
2,10,7
2,10,8
2,10,8
2,10,10
2,10,10
2,10,10
2,10,10
2,10,10
2,10,10
2,10,10
2,10,10
2,10,10
2,10,10
2,10,10
2,10,10
2,10,10
2,10,10
2,15,10
2,15,10
2,15,10
2,15,10
2,15,10
2,15,10
2,15,10
2,15,10
2,15,10
2,15,10
2,15,10
2,15,10
2,15,10
2,15,10
2,15,10
2,15,10
2,15,10
2,15,10
2,15,10
2,15,10
2,15,10
2,15,10
2,15,10
2,15,10
2,15,10
2,15,10
2,20,10
2,20,10
2,20,10
2,20,10
2,20,15
2,20,15
2,20,15
2,20,15
2,20,15
2,20,15
2,20,15
2,20,15
2,20,15
2,20,15
2,20,15
2,20,15
2,20,15
2,20,15
2,20,15
2,20,15
2,20,15
2,20,15
2,20,15
2,20,15
2,20,15
2,20,15
2,20,15
2,20,15
2,20,15
2,25,15
2,30,15
2,30,15
2,30,15
2,30,15
2,30,15
2,30,15
2,30,15
2,30,15
2,30,15
2,30,15
2,30,20
2,30,20
2,30,20
2,30,20
2,30,20
2,30,20
2,30,20
2,30,20
2,30,20
2,30,20
2,30,20
2,30,20
2,30,20
2,30,20
2,30,20
2,30,20
2,30,20
2,30,20
2,30,20
2,30,20
2,30,20
2,30,20
2,30,20
2,30,20
2,30,20
2,30,20
2,30,20
2,30,20
2,30,20
2,30,20
2,30,20
2,30,25
2,30,25
2,30,25
2,30,30
2,30,30
2,30,30
2,30,30
2,30,30
2,30,30
2,30,30
2,30,30
2,30,30
2,30,30
2,30,30
2,30,30
2,30,30
2,30,30
2,30,30
2,30,30
2,30,30
2,30,30
2,30,30
2,30,30
2,40,30
2,40,30
2,40,30
2,45,30
2,45,30
2,45,30
2,45,30
2,45,30
2,60,30
2,60,30
2,60,30
2,60,30
2,60,30
2,60,40
2,60,40
2,60,40
2,60,40
2,60,40
2,60,40
2,60,40
2,60,45
2,120,45
2,120,45
2,120,45
2,180,60
3,2,1
3,2,1
3,2,2
3,2,2
3,2,2
3,2,3
3,3,3
3,3,3
3,3,4
3,4,4
3,4,5
3,4,5
3,4,5
3,4,5
3,5,5
3,5,5
3,5,5
3,5,5
3,5,5
3,5,5
3,5,5
3,5,5
3,5,5
3,8,5
3,8,6
3,10,7
3,10,7
3,10,8
3,10,10
3,10,10
3,10,10
3,10,10
3,10,10
3,10,10
3,10,10
3,10,10
3,10,10
3,10,10
3,10,10
3,10,10
3,10,10
3,10,10
3,10,10
3,10,10
3,10,10
3,10,10
3,10,10
3,10,10
3,15,10
3,15,10
3,15,10
3,15,10
3,15,10
3,15,10
3,15,15
3,15,15
3,15,15
3,15,15
3,15,15
3,15,15
3,15,15
3,15,15
3,15,15
3,15,15
3,15,15
3,15,15
3,20,15
3,20,15
3,20,15
3,20,15
3,20,15
3,20,15
3,20,15
3,20,15
3,20,15
3,20,15
3,20,15
3,20,15
3,20,15
3,20,15
3,20,15
3,20,15
3,20,15
3,20,15
3,25,20
3,30,20
3,30,20
3,30,20
3,30,20
3,30,20
3,30,20
3,30,20
3,30,20
3,30,20
3,30,20
3,30,20
3,30,20
3,30,20
3,30,20
3,30,20
3,30,20
3,30,20
3,30,20
3,30,20
3,30,20
3,30,20
3,30,25
3,30,25
3,30,30
3,30,30
3,30,30
3,30,30
3,30,30
3,30,30
3,30,30
3,30,30
3,40,30
3,40,30
3,40,30
3,40,30
3,40,30
3,45,30
3,45,30
3,45,30
3,45,30
3,60,30
3,60,30
3,60,30
3,60,30
3,60,30
3,60,30
3,60,30
3,60,30
3,60,30
3,60,30
3,60,30
3,60,30
3,60,30
3,60,30
3,60,30
3,60,30
3,60,40
3,60,40
3,120,45
3,120,45
3,120,45
3,120,60
3,120,60